sample_id,invoice_id,generated_scenario,label,edit_count,approve_count,reject_count,status_changed_count,distinct_user_count,validation_count,export_count,subtotal_change_ratio,tax_change_ratio,total_change_ratio,vendor_changed,invoice_number_changed,currency_changed,edited_after_approved,exported_after_rejected,outside_business_hours,has_deleted_line_item,has_reopened_invoice,total_tax_mismatch,repeated_processing_attempts,minutes_between_create_and_approve,max_updates_within_10_minutes,audit_duration_minutes,anomaly_reason_codes,notes
NORMAL-0012,bcd9871e-9c9f-58f7-b50c-05bb67e1a7a7,normal_straight_through,0,0,1,0,1,2,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,210,1,298,,Invoice followed a low-touch review and approval path.
NORMAL-0013,b562234c-7d52-5721-8ce1-3c794da75316,normal_validation_then_approval,0,2,1,0,2,1,2,1,0.034,0.025,0.035,0,0,0,0,0,0,0,0,0,0,250,1,906,,Validation was rerun before ordinary approval.
NORMAL-0014,54c3db08-08c5-52a5-bd0a-e2673bea87c7,normal_straight_through,0,1,1,0,1,1,0,0,0.001,0.008,0.003,0,0,0,0,0,1,0,0,0,0,345,0,349,,Invoice followed a low-touch review and approval path.
NORMAL-0015,bbb37086-d133-5142-af88-7aea9fdb25aa,normal_straight_through,0,1,1,0,1,1,1,0,0.010,0.008,0.010,0,0,0,0,0,0,0,0,0,0,29,0,202,,Invoice followed a low-touch review and approval path.
NORMAL-0016,34314e0e-a90a-5dd2-98f0-9dfa663d0404,normal_minor_correction,0,1,1,0,1,1,2,0,0.015,0.003,0.013,0,0,0,0,0,0,0,0,0,0,519,2,867,,Small pre-approval correction resolved during routine review.
NORMAL-0017,664111fd-bd08-5b05-b23a-a6005640a5b6,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.003,0,0,0,0,0,0,0,0,0,0,1189,1,1260,,Invoice followed a low-touch review and approval path.
NORMAL-0018,4ca41daa-bcf0-5bd9-8d2a-64f4ac76267a,normal_straight_through,0,1,1,0,1,2,2,1,0.004,0.003,0.002,0,0,0,0,0,0,0,0,0,0,1067,1,1636,,Invoice followed a low-touch review and approval path.
NORMAL-0019,b853ee43-adb7-52b8-b7fd-4131ed1106f7,normal_validation_then_approval,0,1,1,0,2,2,1,0,0.010,0.016,0.010,0,0,0,0,0,0,0,0,0,0,321,0,644,,Validation was rerun before ordinary approval.
NORMAL-0020,80005f53-2a85-5100-8736-6250dc682e8a,normal_straight_through,0,0,1,0,1,2,0,0,0.000,0.000,0.002,0,0,0,0,0,0,0,0,0,0,839,0,951,,Invoice followed a low-touch review and approval path.
NORMAL-0021,111fceea-0aa2-5f1f-ba76-0f227352c2c8,normal_straight_through,0,0,1,0,1,1,2,1,0.000,0.000,0.001,0,0,0,0,0,0,0,0,0,0,1330,0,1716,,Invoice followed a low-touch review and approval path.
NORMAL-0022,104648f3-c245-599a-99fa-3b7da49a7aee,normal_validation_then_approval,0,2,1,0,2,1,2,0,0.013,0.027,0.014,0,0,0,0,0,0,0,0,0,0,91,1,442,,Validation was rerun before ordinary approval.
NORMAL-0023,d88b3ddf-772f-5e09-8c59-c468032b0709,normal_straight_through,0,0,1,0,1,2,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,147,0,321,,Invoice followed a low-touch review and approval path.
NORMAL-0024,747b42aa-b287-5deb-8a81-588a62c2f510,normal_straight_through,0,0,1,0,1,2,0,0,0.000,0.000,0.003,0,0,0,0,0,0,0,0,0,0,32,1,371,,Invoice followed a low-touch review and approval path.
NORMAL-0025,899f2461-a794-5c52-a39f-0acee07d03e7,normal_validation_then_approval,0,1,1,0,1,1,1,0,0.011,0.004,0.007,0,0,0,0,0,0,0,0,0,0,644,1,717,,Validation was rerun before ordinary approval.
NORMAL-0026,c268fc7a-4fa7-5aaa-8d92-8fa6d825bae6,normal_validation_then_approval,0,1,1,0,1,1,2,0,0.008,0.015,0.008,0,0,0,0,0,0,0,0,0,0,16,0,227,,Validation was rerun before ordinary approval.
NORMAL-0027,22338079-a2bb-5e3e-b5d5-3da9cf09bff7,normal_exported_after_approval,0,1,1,0,1,1,1,1,0.005,0.009,0.004,0,0,0,0,0,0,0,0,0,0,1398,0,1551,,Invoice was exported only after approval.
NORMAL-0028,671d9080-f7a0-5b14-bb9a-87e5a87d9835,normal_validation_then_approval,0,0,1,0,1,1,1,0,0.000,0.000,0.003,0,0,0,0,0,0,0,0,0,0,967,0,1245,,Validation was rerun before ordinary approval.
NORMAL-0029,60d528ea-aeac-5bee-98d4-a2110ca9b9a8,normal_two_user_review,0,2,1,0,2,3,1,0,0.015,0.008,0.016,0,0,0,0,0,0,0,0,0,0,587,0,890,,Two reviewers participated in a normal approval workflow.
NORMAL-0030,9e9b689f-994a-54d3-a68c-f16ef2caed23,normal_minor_correction,0,1,1,0,1,1,1,1,0.007,0.007,0.006,0,0,0,0,0,0,0,0,0,0,78,1,100,,Small pre-approval correction resolved during routine review.
NORMAL-0031,bf9d61e6-9fc8-5330-a96f-302fe0ff0e4f,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,53,1,56,,Invoice followed a low-touch review and approval path.
NORMAL-0032,617dc00b-5bdb-53ed-bfda-d195107a784c,normal_pending_review,0,1,0,0,1,1,1,0,0.008,0.006,0.009,0,0,0,0,0,0,0,0,0,0,0,2,2099,,Invoice remains in pending review with no approval or export.
NORMAL-0033,d7819d54-52d4-5bb8-b418-35e182819365,normal_validation_then_approval,0,2,1,0,1,1,1,1,0.011,0.007,0.013,0,0,0,0,0,0,0,0,0,0,54,0,679,,Validation was rerun before ordinary approval.
NORMAL-0034,76f1e27a-045b-54ca-a53f-bdf1ba4a4d09,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,308,0,618,,Invoice followed a low-touch review and approval path.
NORMAL-0035,92b32001-7689-5f15-8a46-e018fb292815,normal_two_user_review,0,2,1,0,2,2,1,0,0.009,0.017,0.009,0,0,0,0,0,0,0,0,0,0,38,0,379,,Two reviewers participated in a normal approval workflow.
NORMAL-0036,b7d1e5b3-f1ab-5dab-8f20-af589a92cdac,normal_minor_correction,0,1,1,0,1,2,1,1,0.004,0.011,0.003,0,0,0,0,0,0,0,0,0,0,461,1,1020,,Small pre-approval correction resolved during routine review.
NORMAL-0037,8215b05d-a8c1-561b-a8ac-ea8e56adabe9,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,303,1,624,,Invoice followed a low-touch review and approval path.
NORMAL-0038,17d32f61-9a50-583e-84e1-cd257b0b367c,normal_minor_correction,0,1,1,0,1,1,2,0,0.010,0.005,0.009,0,0,0,0,0,0,0,0,0,0,464,0,556,,Small pre-approval correction resolved during routine review.
NORMAL-0039,9abf8c86-3b78-5cf0-b569-727ce046a8ac,normal_validation_then_approval,0,1,1,0,1,1,1,0,0.007,0.010,0.005,0,0,0,0,0,0,0,0,0,0,268,2,583,,Validation was rerun before ordinary approval.
NORMAL-0040,cd86b133-8ae1-5f0d-9cf5-c65fa9e3045e,normal_validation_then_approval,0,3,1,0,1,1,2,0,0.013,0.046,0.017,0,0,0,0,0,1,0,0,0,0,514,0,832,,Validation was rerun before ordinary approval.
NORMAL-0041,aa82fa0f-cfe3-551a-9675-15ec3c95089d,normal_exported_after_approval,0,2,1,0,1,1,0,1,0.015,0.032,0.015,0,0,0,0,0,0,0,0,0,0,63,0,704,,Invoice was exported only after approval.
NORMAL-0042,dd5d9ac7-9f78-5da5-9b9c-36f4bcd6ad73,normal_minor_correction,0,2,1,0,1,2,2,1,0.010,0.023,0.010,0,0,0,0,0,0,0,0,0,0,37,1,675,,Small pre-approval correction resolved during routine review.
NORMAL-0043,71e2ce17-6886-5a60-b7a7-39249531861d,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.001,0,0,0,0,0,0,0,0,0,0,343,0,531,,Invoice followed a low-touch review and approval path.
NORMAL-0044,5851adfa-4278-545b-a66b-73a978cd6eec,normal_minor_correction,0,2,1,0,1,1,1,0,0.026,0.016,0.024,1,0,0,0,0,0,0,0,0,0,388,0,646,,Small pre-approval correction resolved during routine review.
NORMAL-0045,5049574f-d03c-5b08-87e5-fa0487762650,normal_straight_through,0,0,1,0,1,1,0,0,0.000,0.000,0.003,0,0,0,0,0,1,0,0,0,0,215,1,571,,Invoice followed a low-touch review and approval path.
NORMAL-0046,3dec05fb-a0a2-5d0e-ba0d-91edf526ddce,normal_validation_then_approval,0,1,1,0,1,2,1,0,0.006,0.012,0.004,0,0,0,0,0,0,0,0,0,0,124,0,439,,Validation was rerun before ordinary approval.
NORMAL-0047,bc22d7e3-1446-5b93-bc9f-b49ddbf4f4c4,normal_straight_through,0,2,1,0,1,1,0,0,0.021,0.011,0.018,0,0,0,0,0,0,0,0,0,0,38,0,117,,Invoice followed a low-touch review and approval path.
NORMAL-0048,0da722bd-f1c0-546e-9901-680c7c997fc8,normal_minor_correction,0,3,1,0,1,1,1,0,0.025,0.013,0.023,0,0,0,0,0,0,0,0,0,0,811,2,958,,Small pre-approval correction resolved during routine review.
NORMAL-0049,f18eb904-788b-5e98-a980-5f7913a55b83,normal_two_user_review,0,2,1,0,1,3,1,0,0.015,0.019,0.014,0,0,0,0,0,0,0,0,0,0,189,0,217,,Two reviewers participated in a normal approval workflow.
NORMAL-0050,01aeb564-e42c-5f3a-a4c2-f760d4bb1d44,normal_exported_after_approval,0,0,1,0,1,2,1,1,0.000,0.000,0.002,0,0,0,0,0,0,0,0,0,0,421,1,767,,Invoice was exported only after approval.
NORMAL-0051,8fc966fa-6dff-51e8-b691-36a08ff6316a,normal_straight_through,0,0,1,0,1,1,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,179,1,286,,Invoice followed a low-touch review and approval path.
NORMAL-0052,a5d82ce9-0b5e-5da4-8e69-949639f6379a,normal_pending_review,0,0,0,0,1,1,1,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,1,1769,,Invoice remains in pending review with no approval or export.
NORMAL-0053,fd85d886-89c0-5458-ba77-70745a7a63b7,normal_straight_through,0,0,1,0,1,1,0,1,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,37,1,605,,Invoice followed a low-touch review and approval path.
NORMAL-0054,b934d61d-da4b-550d-9e6b-a0a5a060cf9a,normal_straight_through,0,0,1,0,1,2,0,0,0.000,0.000,0.002,0,0,0,0,0,0,0,0,0,0,28,0,346,,Invoice followed a low-touch review and approval path.
NORMAL-0055,d44089a9-b810-5015-92dd-fbfc0c8b2ee6,normal_validation_then_approval,0,1,1,0,1,1,1,0,0.007,0.002,0.007,0,0,0,0,0,1,0,0,0,0,1094,0,1263,,Validation was rerun before ordinary approval.
NORMAL-0056,43a13a14-aa2a-538c-9b24-911f61d22ca6,normal_exported_after_approval,0,1,1,0,2,1,0,1,0.006,0.003,0.008,0,0,0,0,0,0,0,0,0,0,778,0,1148,,Invoice was exported only after approval.
NORMAL-0057,ec4e4afc-5b89-5e08-88b3-a7e28d0b88cc,normal_minor_correction,0,3,1,0,1,1,2,0,0.011,0.030,0.012,0,0,0,0,0,0,0,0,0,0,281,2,439,,Small pre-approval correction resolved during routine review.
NORMAL-0058,05c97d7c-f691-5c37-857f-703bd6a86cc8,normal_validation_then_approval,0,3,1,0,1,1,1,0,0.028,0.009,0.023,0,0,0,0,0,0,0,0,0,0,855,0,1001,,Validation was rerun before ordinary approval.
NORMAL-0059,e432b983-830d-5732-9c29-089f4c84f265,normal_pending_review,0,3,0,0,1,1,1,0,0.017,0.016,0.015,0,0,0,0,0,0,0,0,0,0,0,1,2427,,Invoice remains in pending review with no approval or export.
NORMAL-0060,33d1b7a1-2def-5ff4-abd2-1d8793458880,normal_minor_correction,0,2,1,0,1,2,1,0,0.005,0.010,0.004,0,0,0,0,0,0,0,0,0,0,806,0,973,,Small pre-approval correction resolved during routine review.
NORMAL-0061,7229f191-9818-5bd2-b8d8-b659c6251d02,normal_exported_after_approval,0,0,1,0,1,1,0,1,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,61,1,210,,Invoice was exported only after approval.
NORMAL-0062,bbdd9e61-08b9-535f-8500-35300ea0d305,normal_pending_review,0,2,0,0,0,1,0,0,0.029,0.026,0.026,0,0,0,0,0,0,0,0,0,0,0,0,1226,,Invoice remains in pending review with no approval or export.
NORMAL-0063,57a770a6-44e4-5665-9ed4-569b852cab01,normal_exported_after_approval,0,0,1,0,1,1,0,1,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,436,1,570,,Invoice was exported only after approval.
NORMAL-0064,ebd0dd46-3655-5071-803f-6df8d01bc466,normal_minor_correction,0,2,1,0,1,1,1,1,0.029,0.005,0.028,0,0,0,0,0,0,0,0,0,0,233,1,550,,Small pre-approval correction resolved during routine review.
NORMAL-0065,8fcd4d59-7439-57d9-9dda-8e5ccde90913,normal_minor_correction,0,2,1,0,1,2,1,0,0.026,0.002,0.023,0,0,0,0,0,0,0,0,0,0,23,1,318,,Small pre-approval correction resolved during routine review.
NORMAL-0066,9d133dba-fa94-5923-9e37-f109115998d7,normal_minor_correction,0,1,1,0,1,1,1,0,0.007,0.001,0.004,0,0,0,0,0,0,0,0,0,0,89,0,238,,Small pre-approval correction resolved during routine review.
NORMAL-0067,6d83b9cd-b2d1-53c9-812a-52aa0bf4a185,normal_validation_then_approval,0,1,1,0,1,1,1,0,0.000,0.003,0.002,0,0,0,0,0,0,0,0,0,0,300,2,546,,Validation was rerun before ordinary approval.
NORMAL-0068,a6de417e-768d-5ec9-a943-1629705eca73,normal_minor_correction,0,1,1,0,1,1,1,0,0.006,0.011,0.008,0,0,0,0,0,0,0,0,0,0,538,1,734,,Small pre-approval correction resolved during routine review.
NORMAL-0069,dad4aad6-8264-5b41-a796-84027185171f,normal_exported_after_approval,0,1,1,0,1,2,1,1,0.012,0.017,0.010,0,0,0,0,0,0,0,0,0,0,399,0,606,,Invoice was exported only after approval.
NORMAL-0070,684a4fa2-dabc-57e3-867c-8f9fde2f1510,normal_minor_correction,0,3,1,0,1,3,2,1,0.032,0.028,0.032,0,0,0,0,0,0,0,0,0,0,1190,3,1902,,Small pre-approval correction resolved during routine review.
NORMAL-0071,64934fca-3223-5bb1-a247-537ba6b1abb3,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,72,1,384,,Invoice followed a low-touch review and approval path.
NORMAL-0072,69a9cc4c-aa46-5539-b9a5-c08de3b2bf66,normal_straight_through,0,0,1,0,1,2,1,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,691,1,731,,Invoice followed a low-touch review and approval path.
NORMAL-0073,944a474b-8693-5077-9736-2f8cd0a152eb,normal_pending_review,0,0,0,0,1,2,2,0,0.000,0.000,0.002,0,0,0,0,0,0,0,0,0,0,0,1,2411,,Invoice remains in pending review with no approval or export.
NORMAL-0074,615e4d24-c65c-5071-9700-1787b32bd124,normal_exported_after_approval,0,0,1,0,2,1,0,1,0.000,0.000,0.001,0,0,0,0,0,0,0,0,0,0,77,1,152,,Invoice was exported only after approval.
NORMAL-0075,bf087308-8ff0-5eb1-8dfe-78fa8cb13b67,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.002,0,0,0,0,0,1,0,0,0,0,483,1,612,,Invoice followed a low-touch review and approval path.
NORMAL-0076,e88fc739-9309-5cd8-8ee7-5f8c2ab37606,normal_minor_correction,0,1,1,0,1,1,1,0,0.008,0.009,0.007,0,0,0,0,0,0,0,0,0,0,1140,2,1362,,Small pre-approval correction resolved during routine review.
NORMAL-0077,c36a6e1c-70fc-5239-8f84-2afc4affae83,normal_straight_through,0,1,1,0,1,1,0,1,0.005,0.007,0.003,0,0,0,0,0,0,0,0,0,0,897,1,1588,,Invoice followed a low-touch review and approval path.
NORMAL-0078,86c5c1a4-07c0-5a19-ad5d-bf6e762642fa,normal_straight_through,0,0,1,0,1,1,1,1,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,1141,0,1609,,Invoice followed a low-touch review and approval path.
NORMAL-0079,13df545f-a1d9-5919-816d-df45f627b786,normal_straight_through,0,0,1,0,1,1,0,0,0.000,0.000,0.002,0,0,0,0,0,0,0,0,0,0,360,1,600,,Invoice followed a low-touch review and approval path.
NORMAL-0080,7ee21070-f9d2-5286-a546-b8fa2cf68dec,normal_validation_then_approval,0,0,1,0,1,2,1,0,0.000,0.000,0.001,0,0,0,0,0,1,0,0,0,0,861,0,1180,,Validation was rerun before ordinary approval.
NORMAL-0081,d2a9ac57-dbb2-587e-95f4-252e908b8bdb,normal_validation_then_approval,0,1,1,0,1,1,1,0,0.009,0.010,0.009,0,0,0,0,0,0,0,0,0,0,156,1,289,,Validation was rerun before ordinary approval.
NORMAL-0082,0cdda1c6-ddd2-5386-a61d-01270524fdb6,normal_straight_through,0,1,1,0,1,2,1,1,0.001,0.005,0.000,0,0,0,0,0,0,0,0,0,0,459,0,930,,Invoice followed a low-touch review and approval path.
NORMAL-0083,9f42fd39-ada9-5257-86ef-30a5e6939033,normal_minor_correction,0,3,1,0,1,1,1,0,0.017,0.023,0.021,0,0,0,0,0,0,0,0,0,0,223,2,310,,Small pre-approval correction resolved during routine review.
NORMAL-0084,54aae329-9246-5180-b95a-b588fc25d82a,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.001,0,0,0,0,0,0,0,0,0,0,1018,0,1201,,Invoice followed a low-touch review and approval path.
NORMAL-0085,9c7e6edb-0359-5284-9a75-2e088c6d674e,normal_validation_then_approval,0,1,1,0,1,1,2,0,0.010,0.005,0.008,0,0,0,0,0,0,0,0,0,0,178,1,316,,Validation was rerun before ordinary approval.
NORMAL-0086,b8cb7c96-207b-5aa0-ac2b-e3f1e2a0db19,normal_exported_after_approval,0,1,1,0,1,1,2,1,0.010,0.006,0.007,0,0,0,0,0,0,0,0,0,0,18,0,292,,Invoice was exported only after approval.
NORMAL-0087,b83fc644-54c1-51c0-bb2a-f768be061255,normal_minor_correction,0,1,1,0,1,2,1,1,0.007,0.014,0.008,0,0,0,0,0,0,0,0,0,0,701,2,1328,,Small pre-approval correction resolved during routine review.
NORMAL-0088,1a5ae661-c95d-57b9-b060-299a09fe57b1,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,742,0,1098,,Invoice followed a low-touch review and approval path.
NORMAL-0089,09056bd8-3c4e-5fe7-94ed-4f9adf0bf54f,normal_straight_through,0,1,1,0,1,1,0,1,0.010,0.004,0.008,0,0,0,0,0,0,0,0,0,0,77,0,221,,Invoice followed a low-touch review and approval path.
NORMAL-0090,25108a59-4331-5bfc-b024-83b760d44e9f,normal_exported_after_approval,0,0,1,0,1,1,1,1,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,1417,1,1681,,Invoice was exported only after approval.
NORMAL-0091,eec58dcd-9842-5673-9e34-fccf1569b169,normal_minor_correction,0,3,1,0,1,1,1,1,0.013,0.018,0.013,0,0,0,0,0,0,0,0,0,0,378,1,528,,Small pre-approval correction resolved during routine review.
NORMAL-0092,8994415a-38c0-5e45-af8f-e92d3b2fe2d3,normal_pending_review,0,3,0,0,0,1,0,0,0.023,0.022,0.025,0,0,0,0,0,0,0,0,0,0,0,0,722,,Invoice remains in pending review with no approval or export.
NORMAL-0093,cf66fee1-7e0e-5d98-990e-28b41c204ed9,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.001,0,0,0,0,0,0,0,0,0,0,169,0,456,,Invoice followed a low-touch review and approval path.
NORMAL-0094,bf403285-f841-5acd-b4e8-075ba466b726,normal_straight_through,0,0,1,0,1,1,0,1,0.000,0.000,0.003,0,0,0,0,0,0,0,0,0,0,561,1,739,,Invoice followed a low-touch review and approval path.
NORMAL-0095,e355077f-8091-5e73-859b-6905dd098a79,normal_straight_through,0,0,1,0,1,1,1,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,181,0,294,,Invoice followed a low-touch review and approval path.
NORMAL-0096,ea95ee66-faf0-5f00-9d56-5ac659dc5ccc,normal_exported_after_approval,0,0,1,0,2,1,1,1,0.000,0.000,0.002,0,0,0,0,0,0,0,0,0,0,398,0,477,,Invoice was exported only after approval.
NORMAL-0097,90458718-9d62-5fc6-8ec9-bac24314be2c,normal_pending_review,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,1,1145,,Invoice remains in pending review with no approval or export.
NORMAL-0098,25981352-ea43-51dc-89b4-194b3e7eda38,normal_two_user_review,0,2,1,0,1,2,1,1,0.006,0.025,0.009,0,0,0,0,0,0,0,0,0,0,35,1,334,,Two reviewers participated in a normal approval workflow.
NORMAL-0099,556678ad-c5af-51fb-b79e-df9d1bcbcb56,normal_straight_through,0,2,1,0,1,1,0,0,0.008,0.003,0.008,0,0,0,0,0,0,0,0,0,0,488,0,608,,Invoice followed a low-touch review and approval path.
NORMAL-0100,33e357b0-e622-5c32-8c76-c61c845ce47c,normal_validation_then_approval,0,2,1,0,1,1,1,0,0.018,0.008,0.016,0,0,0,0,0,0,0,0,0,0,65,0,206,,Validation was rerun before ordinary approval.
NORMAL-0101,e089c19a-952f-5939-a09f-faaf8c0426f9,normal_minor_correction,0,1,1,0,1,1,2,1,0.008,0.010,0.007,0,0,0,0,0,0,0,0,0,0,873,1,1151,,Small pre-approval correction resolved during routine review.
NORMAL-0102,3beecae7-7ce2-5664-bbff-210671c70bb6,normal_straight_through,0,1,1,0,1,2,0,0,0.010,0.008,0.008,0,0,0,0,0,0,0,0,0,0,18,1,120,,Invoice followed a low-touch review and approval path.
NORMAL-0103,9b3f77bd-8ccf-56e5-a8c1-25ef35c67871,normal_validation_then_approval,0,1,1,0,2,1,2,1,0.011,0.009,0.012,0,0,0,0,0,0,0,0,0,0,472,2,592,,Validation was rerun before ordinary approval.
NORMAL-0104,cff7745c-cae1-5dbd-89d0-e15d5c18021e,normal_straight_through,0,0,1,0,1,1,1,1,0.000,0.000,0.001,0,0,0,0,0,0,0,0,0,0,610,0,1182,,Invoice followed a low-touch review and approval path.
NORMAL-0105,21715eb9-426c-5f11-9583-06b90279a3dd,normal_minor_correction,0,2,1,0,1,1,1,0,0.008,0.010,0.010,0,0,0,0,0,0,0,0,0,0,1221,1,1424,,Small pre-approval correction resolved during routine review.
NORMAL-0106,f609a80d-34ac-59db-ba07-23742636b095,normal_straight_through,0,0,1,0,1,2,0,1,0.000,0.000,0.003,0,0,0,0,0,0,0,0,0,0,809,1,983,,Invoice followed a low-touch review and approval path.
NORMAL-0107,0e185d1c-9d1a-553f-9b38-71cfa382b26b,normal_pending_review,0,0,0,0,1,1,1,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,605,,Invoice remains in pending review with no approval or export.
NORMAL-0108,ff378fce-dc02-5bc3-9ec4-ec0c42b47301,normal_pending_review,0,1,0,0,0,1,0,0,0.006,0.006,0.004,0,0,0,0,0,0,0,0,0,0,0,2,2588,,Invoice remains in pending review with no approval or export.
NORMAL-0109,c4a01877-9902-5919-8164-ff9025bc0b6b,normal_minor_correction,0,1,1,0,1,2,1,0,0.009,0.006,0.011,0,0,0,0,0,0,0,0,0,0,366,1,643,,Small pre-approval correction resolved during routine review.
NORMAL-0110,f4ae52a8-56aa-5407-a0b6-667e575ba6e6,normal_two_user_review,0,1,1,0,1,3,2,1,0.014,0.001,0.013,0,0,0,0,0,1,0,0,0,0,129,1,450,,Two reviewers participated in a normal approval workflow.
NORMAL-0111,66db22e7-9c0e-5d6d-a2c1-be4c267e4d2f,normal_straight_through,0,0,1,0,1,1,0,1,0.000,0.000,0.001,0,0,0,0,0,0,0,0,0,0,470,1,968,,Invoice followed a low-touch review and approval path.
NORMAL-0112,22d177c8-210d-5fee-afaa-148a6e209402,normal_straight_through,0,1,1,0,1,1,1,1,0.002,0.009,0.001,0,0,0,0,0,0,0,0,0,0,226,0,765,,Invoice followed a low-touch review and approval path.
NORMAL-0113,93621e4f-48d8-5f7e-8c22-a0a54a45be7f,normal_exported_after_approval,0,1,1,0,1,1,1,1,0.006,0.010,0.008,0,0,0,0,0,0,0,0,0,0,35,1,426,,Invoice was exported only after approval.
NORMAL-0114,3ce549c6-486d-5d88-a086-1b0b4bbb1f13,normal_straight_through,0,1,1,0,1,1,0,0,0.006,0.007,0.006,0,0,0,0,0,0,0,0,0,0,411,0,649,,Invoice followed a low-touch review and approval path.
